============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 06 2021  09:18:39 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     
     Gate      Instances     Area           Library       
DFQD2BWP             328    1272.902    tcbn45gsbwpbc0d88 
DFQD4BWP             148     626.573    tcbn45gsbwpbc0d88 
DFSND2BWP              3      15.347    tcbn45gsbwpbc0d88 
DFSND4BWP              5      29.988    tcbn45gsbwpbc0d88 
DFSNQD1BWP            10      42.336    tcbn45gsbwpbc0d88 
DFSNQD2BWP             2       8.820    tcbn45gsbwpbc0d88 
DFSNQD4BWP            14      69.149    tcbn45gsbwpbc0d88 
DFXQD1BWP             14      66.679    tcbn45gsbwpbc0d88 
EDFCNQD1BWP            9      50.803    tcbn45gsbwpbc0d88 
EDFD1BWP               3      15.347    tcbn45gsbwpbc0d88 
EDFQD1BWP             54     257.191    tcbn45gsbwpbc0d88 
EDFQD2BWP             16      81.850    tcbn45gsbwpbc0d88 
FA1D0BWP           11197   49378.770    tcbn45gsbwpbc0d88 
FA1D1BWP              80     423.360    tcbn45gsbwpbc0d88 
FA1D2BWP             131     716.360    tcbn45gsbwpbc0d88 
FA1D4BWP              54     400.075    tcbn45gsbwpbc0d88 
FCICIND1BWP           26      59.623    tcbn45gsbwpbc0d88 
FCICOND1BWP           19      30.164    tcbn45gsbwpbc0d88 
HA1D0BWP            1928    5781.686    tcbn45gsbwpbc0d88 
HA1D1BWP               2       6.350    tcbn45gsbwpbc0d88 
HICOND1BWP             3       9.526    tcbn45gsbwpbc0d88 
IAO21D0BWP             1       1.235    tcbn45gsbwpbc0d88 
IAO21D1BWP            18      22.226    tcbn45gsbwpbc0d88 
IAO22D1BWP            31      49.216    tcbn45gsbwpbc0d88 
IIND4D1BWP             5       9.702    tcbn45gsbwpbc0d88 
IND2D1BWP            216     228.614    tcbn45gsbwpbc0d88 
IND2D2BWP              1       1.411    tcbn45gsbwpbc0d88 
IND3D1BWP             23      28.400    tcbn45gsbwpbc0d88 
IND3D4BWP              1       3.704    tcbn45gsbwpbc0d88 
IND4D1BWP             26      36.691    tcbn45gsbwpbc0d88 
INR2D1BWP            536     567.302    tcbn45gsbwpbc0d88 
INR2D2BWP              3       4.234    tcbn45gsbwpbc0d88 
INR2XD0BWP          6859    7259.566    tcbn45gsbwpbc0d88 
INR2XD1BWP             1       1.411    tcbn45gsbwpbc0d88 
INR2XD2BWP             3       6.880    tcbn45gsbwpbc0d88 
INR2XD4BWP             7      32.105    tcbn45gsbwpbc0d88 
INR3D0BWP             31      38.279    tcbn45gsbwpbc0d88 
INR4D0BWP              4       6.350    tcbn45gsbwpbc0d88 
INVD12BWP             90     269.892    tcbn45gsbwpbc0d88 
INVD16BWP            332    1288.426    tcbn45gsbwpbc0d88 
INVD1BWP            4850    2566.620    tcbn45gsbwpbc0d88 
INVD2BWP              95      67.032    tcbn45gsbwpbc0d88 
INVD3BWP              26      27.518    tcbn45gsbwpbc0d88 
INVD4BWP             511     630.983    tcbn45gsbwpbc0d88 
