============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 05 2021  04:51:22 pm
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                    Module                        Cell Count  Cell Area   Net Area   Total Area 
--------------------------------------------------------------------------------------------------------------------------------------
      Cm[0].Gm[0].Um[11].Mm[2].MUL  multiplier_raw_156                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[11].Mm[1].MUL  multiplier_raw_155                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[13].MUL multiplier_raw_153                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[12].MUL multiplier_raw_152                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[11].MUL multiplier_raw_151                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[10].MUL multiplier_raw_150                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[9].MUL  multiplier_raw_149                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[8].MUL  multiplier_raw_148                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[7].MUL  multiplier_raw_147                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[6].MUL  multiplier_raw_146                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[5].MUL  multiplier_raw_145                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[4].MUL  multiplier_raw_144                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[3].MUL  multiplier_raw_143                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[2].MUL  multiplier_raw_142                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[10].Mm[1].MUL  multiplier_raw_141                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[13].MUL  multiplier_raw_139                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[12].MUL  multiplier_raw_138                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[11].MUL  multiplier_raw_137                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[10].MUL  multiplier_raw_136                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[9].MUL   multiplier_raw_135                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[8].MUL   multiplier_raw_134                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[7].MUL   multiplier_raw_133                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[6].MUL   multiplier_raw_132                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[5].MUL   multiplier_raw_131                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[4].MUL   multiplier_raw_130                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[3].MUL   multiplier_raw_129                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[2].MUL   multiplier_raw_128                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[9].Mm[1].MUL   multiplier_raw_127                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[13].MUL  multiplier_raw_125                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[12].MUL  multiplier_raw_124                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[11].MUL  multiplier_raw_123                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[10].MUL  multiplier_raw_122                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[9].MUL   multiplier_raw_121                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[8].MUL   multiplier_raw_120                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[7].MUL   multiplier_raw_119                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[6].MUL   multiplier_raw_118                                         129    260.190    203.605      463.795 
      Cm[0].Gm[0].Um[8].Mm[5].MUL   multiplier_raw_117                                         129    260.190    203.605      463.795 
