============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:22:33 am
  Module:                 axis_accelerator_asic
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                Leakage      Dynamic        Total     
               Instance                 Cells  Power(nW)    Power(nW)     Power(nW)   
      Cm[0].Gm[0..12].Mm[3].MUL           478   15449.339   1268112.566   1283561.905 
      Cm[0].Gm[0..[2].Mm[5].MUL           451   15445.058   1258405.013   1273850.071 
      Cm[0].Gm[0..[8].Mm[8].MUL           461   15442.818   1264292.902   1279735.719 
      Cm[0].Gm[0..[0].Mm[8].MUL           456   15442.099   1304077.738   1319519.837 
      Cm[0].Gm[0..13].Mm[0].MUL           466   15437.687   1257246.166   1272683.852 
      Cm[0].Gm[0..10].Mm[6].MUL           437   15432.046   1254852.172   1270284.218 
      Cm[0].Gm[0..[8].Mm[9].MUL           458   15419.286   1266557.728   1281977.013 
      Cm[0].Gm[0..[3].Mm[7].MUL           465   15413.775   1244366.633   1259780.409 
      Cm[0].Gm[0..[8].Mm[6].MUL           443   15410.892   1265586.366   1280997.258 
      Cm[0].Gm[0..12].Mm[0].MUL           435   15410.095   1244656.952   1260067.046 
      Cm[0].Gm[0..[8].Mm[5].MUL           462   15398.438   1249767.829   1265166.267 
      Cm[0].Gm[0..[1].Mm[1].MUL           455   15394.428   1271001.394   1286395.822 
      Cm[0].Gm[0..11].Mm[5].MUL           430   15392.372   1239594.771   1254987.143 
      Cm[0].Gm[0..3].Mm[13].MUL           506   15387.921   1286021.455   1301409.376 
      Cm[0].Gm[0..12].Mm[2].MUL           456   15369.978   1251469.955   1266839.933 
      Cm[0].Gm[0..10].Mm[8].MUL           462   15363.341   1256537.919   1271901.261 
      Cm[0].Gm[0..7].Mm[12].MUL           453   15360.777   1250652.206   1266012.983 
      Cm[0].Gm[0..[2].Mm[6].MUL           435   15355.946   1263198.883   1278554.829 
      Cm[0].Gm[0..[3].Mm[0].MUL           431   15353.431   1234010.329   1249363.760 
      Cm[0].Gm[0..[0].Mm[3].MUL           478   15350.284   1307177.315   1322527.599 
      Cm[0].Gm[0..13].Mm[5].MUL           447   15343.993   1247833.038   1263177.031 
      Cm[0].Gm[0..[5].Mm[3].MUL           466   15340.041   1259850.075   1275190.115 
      Cm[0].Gm[0..12].Mm[8].MUL           453   15340.002   1254300.399   1269640.401 
      Cm[0].Gm[0..[4].Mm[5].MUL           435   15339.343   1254301.313   1269640.656 
      Cm[0].Gm[0..7].Mm[13].MUL           503   15334.826   1281325.408   1296660.234 
      Cm[0].Gm[0..[0].Mm[2].MUL           459   15331.883   1294635.080   1309966.963 
      Cm[0].Gm[0..[7].Mm[3].MUL           435   15319.864   1244055.632   1259375.496 
      Cm[0].Gm[0..[5].Mm[8].MUL           452   15318.517   1250499.364   1265817.881 
      Cm[0].Gm[0..[2].Mm[3].MUL           437   15317.370   1251732.804   1267050.174 
      Cm[0].Gm[0..1].Mm[10].MUL           476   15317.316   1259941.344   1275258.661 
        mul_59_21                         476   15317.316   1259941.344   1275258.661 
      Cm[0].Gm[0..[3].Mm[6].MUL           420   15308.507   1236929.775   1252238.282 
      Cm[0].Gm[0..11].Mm[6].MUL           447   15306.855   1259652.178   1274959.034 
      Cm[0].Gm[0..[4].Mm[0].MUL           481   15306.824   1254897.168   1270203.992 
      Cm[0].Gm[0..6].Mm[12].MUL           448   15303.226   1246396.388   1261699.614 
      Cm[0].Gm[0..[8].Mm[3].MUL           444   15302.971   1238736.283   1254039.253 
      Cm[0].Gm[0..8].Mm[12].MUL           458   15300.710   1258535.223   1273835.933 
      Cm[0].Gm[0..[3].Mm[3].MUL           490   15299.934   1279631.168   1294931.101 
        mul_59_21                         490   15299.934   1279631.168   1294931.101 
      Cm[0].Gm[0..6].Mm[10].MUL           456   15282.590   1258641.389   1273923.978 
      Cm[0].Gm[0..[9].Mm[8].MUL           428   15281.111   1227272.979   1242554.091 
      Cm[0].Gm[0..2].Mm[13].MUL           512   15278.488   1274035.724   1289314.212 
      Cm[0].Gm[0..[3].Mm[5].MUL           427   15275.602   1236663.561   1251939.164 
      Cm[0].Gm[0..12].Mm[4].MUL           447   15274.493   1245096.755   1260371.248 
      Cm[0].Gm[0..[8].Mm[2].MUL           443   15274.060   1252182.254   1267456.314 
      Cm[0].Gm[0..[7].Mm[5].MUL           424   15272.029   1225518.018   1240790.047 
      Cm[0].Gm[0..1].Mm[13].MUL           503   15270.271   1280328.042   1295598.312 
      Cm[0].Gm[0..[1].Mm[9].MUL           468   15264.141   1275163.675   1290427.816 
      Cm[0].Gm[0..[2].Mm[9].MUL           441   15263.534   1255420.721   1270684.255 
      Cm[0].Gm[0..12].Mm[9].MUL           460   15248.136   1250594.979   1265843.115 
      Cm[0].Gm[0..1].Mm[13].MUL           509   15243.011   1281170.833   1296413.844 
      Cm[0].Gm[0..[3].Mm[8].MUL           422   15236.207   1235019.921   1250256.128 
      Cm[0].Gm[0..[4].Mm[4].MUL           461   15235.829   1261805.818   1277041.647 
      Cm[0].Gm[0..11].Mm[0].MUL           446   15227.797   1240680.723   1255908.520 
      Cm[0].Gm[0..4].Mm[12].MUL           452   15227.209   1253333.049   1268560.258 
      Cm[0].Gm[0..5].Mm[11].MUL           449   15226.342   1250660.803   1265887.146 
      Cm[0].Gm[0..[9].Mm[4].MUL           430   15226.230   1225560.260   1240786.490 
      Cm[0].Gm[0..6].Mm[11].MUL           440   15212.007   1243025.147   1258237.154 
      Cm[0].Gm[0..[0].Mm[5].MUL           464   15188.824   1282241.779   1297430.603 
      Cm[0].Gm[0..[1].Mm[4].MUL           478   15173.478   1259615.739   1274789.217 
      Cm[0].Gm[0..[5].Mm[6].MUL           452   15172.601   1258115.195   1273287.796 
      Cm[0].Gm[0..[5].Mm[2].MUL           448   15165.707   1251410.043   1266575.750 
      Cm[0].Gm[0..1].Mm[11].MUL           435   15161.673   1237617.719   1252779.392 
      Cm[0].Gm[0..1].Mm[10].MUL           412   15160.379   1228192.181   1243352.560 
      Cm[0].Gm[0..2].Mm[11].MUL           418   15158.786   1224179.349   1239338.135 
      Cm[0].Gm[0..[7].Mm[6].MUL           436   15149.806   1243908.909   1259058.714 
      Cm[0].Gm[0..4].Mm[11].MUL           425   15144.789   1239188.777   1254333.566 
      Cm[0].Gm[0..12].Mm[6].MUL           453   15143.917   1251627.970   1266771.887 
      Cm[0].Gm[0..2].Mm[13].MUL           505   15133.841   1274465.547   1289599.388 
      Cm[0].Gm[0..[4].Mm[1].MUL           447   15132.863   1250853.059   1265985.922 
      Cm[0].Gm[0..[7].Mm[0].MUL           463   15127.386   1242822.637   1257950.023 
      Cm[0].Gm[0..[0].Mm[1].MUL           436   15126.074   1282892.145   1298018.219 
      Cm[0].Gm[0..[6].Mm[8].MUL           449   15124.983   1253468.697   1268593.681 
      Cm[0].Gm[0..[2].Mm[4].MUL           442   15120.464   1237168.396   1252288.861 
      Cm[0].Gm[0..12].Mm[1].MUL           439   15119.598   1241549.835   1256669.432 
      Cm[0].Gm[0..[4].Mm[9].MUL           444   15116.681   1247581.502   1262698.183 
      Cm[0].Gm[0..[8].Mm[7].MUL           459   15115.179   1236504.608   1251619.786 
      Cm[0].Gm[0..5].Mm[13].MUL           506   15099.633   1276328.990   1291428.622 
      Cm[0].Gm[0..5].Mm[12].MUL           448   15099.070   1244250.232   1259349.302 
      Cm[0].Gm[0..8].Mm[13].MUL           492   15095.498   1259244.455   1274339.953 
      Cm[0].Gm[0..[3].Mm[9].MUL           416   15091.384   1225556.692   1240648.076 
      Cm[0].Gm[0..13].Mm[1].MUL           442   15083.397   1249549.111   1264632.507 
      Cm[0].Gm[0..[1].Mm[5].MUL           447   15079.149   1228256.476   1243335.626 
      Cm[0].Gm[0..0].Mm[13].MUL           493   15078.942   1257946.013   1273024.955 
      Cm[0].Gm[0..[2].Mm[7].MUL           424   15066.445   1212662.258   1227728.703 
      Cm[0].Gm[0..[4].Mm[8].MUL           449   15050.882   1250010.614   1265061.496 
      Cm[0].Gm[0..2].Mm[11].MUL           417   15038.973   1227546.860   1242585.832 
      Cm[0].Gm[0..11].Mm[9].MUL           405   15036.199   1216991.332   1232027.531 
      Cm[0].Gm[0..[4].Mm[3].MUL           447   15031.854   1254729.263   1269761.117 
      Cm[0].Gm[0..4].Mm[10].MUL           451   15025.806   1253101.165   1268126.971 
      Cm[0].Gm[0..13].Mm[8].MUL           433   14999.519   1239599.604   1254599.124 
      Cm[0].Gm[0..11].Mm[4].MUL           426   14986.035   1226222.441   1241208.477 
      Cm[0].Gm[0..[5].Mm[1].MUL           436   14980.537   1242273.427   1257253.964 
      Cm[0].Gm[0..[6].Mm[6].MUL           416   14966.440   1237138.568   1252105.008 
      Cm[0].Gm[0..7].Mm[11].MUL           443   14965.430   1235671.210   1250636.640 
      Cm[0].Gm[0..4].Mm[13].MUL           490   14964.016   1259327.842   1274291.859 
      Cm[0].Gm[0..6].Mm[13].MUL           488   14961.008   1262128.320   1277089.328 
      Cm[0].Gm[0..[7].Mm[1].MUL           409   14954.472   1230507.650   1245462.122 
      Cm[0].Gm[0..1].Mm[12].MUL           426   14951.767   1217653.030   1232604.797 
      Cm[0].Gm[0..[2].Mm[0].MUL           463   14942.247   1236845.462   1251787.709 
      Cm[0].Gm[0..[4].Mm[6].MUL           449   14939.230   1249083.849   1264023.078 
      Cm[0].Gm[0..[3].Mm[2].MUL           435   14931.856   1228330.388   1243262.244 
      Cm[0].Gm[0..1].Mm[11].MUL           447   14927.571   1234955.091   1249882.662 
      Cm[0].Gm[0..[2].Mm[1].MUL           433   14917.948   1244891.668   1259809.616 
      Cm[0].Gm[0..13].Mm[7].MUL           439   14896.399   1219114.733   1234011.132 
      Cm[0].Gm[0..3].Mm[11].MUL           440   14889.086   1234343.057   1249232.143 
      Cm[0].Gm[0..[1].Mm[7].MUL           434   14888.076   1204790.968   1219679.044 
      Cm[0].Gm[0..3].Mm[12].MUL           399   14885.265   1202233.916   1217119.181 
