============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:22:33 am
  Module:                 axis_accelerator_asic
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                Leakage      Dynamic        Total     
               Instance                 Cells  Power(nW)    Power(nW)     Power(nW)   
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[7].Ma[4].ACC           130    3922.864    222558.291    226481.155 
        add_31_23                          83    2816.345    150627.472    153443.817 
          RC_CG_HIER_INST225                1      34.558      3441.184      3475.742 
        RC_CG_HIER_INST224                  1      34.558      4481.106      4515.664 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[7].Ma[2].ACC           130    3887.454    222800.248    226687.702 
        add_31_23                          82    2758.660    150946.635    153705.295 
          RC_CG_HIER_INST221                1      34.558      3425.615      3460.173 
        RC_CG_HIER_INST220                  1      34.558      4465.537      4500.095 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[1].Ma[9].ACC           131    3864.849    227330.748    231195.598 
        add_31_23                          83    2730.159    155696.095    158426.253 
          RC_CG_HIER_INST61                 1      34.558      3408.551      3443.109 
        RC_CG_HIER_INST60                   1      34.558      4448.473      4483.031 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[7].Ma[9].ACC           138    3851.805    223089.861    226941.666 
        add_31_23                          91    2745.115    151451.321    154196.436 
          RC_CG_HIER_INST235                1      34.558      3424.346      3458.904 
        RC_CG_HIER_INST234                  1      34.558      4464.268      4498.825 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..13].Ma[9].ACC           129    3817.133    224069.333    227886.466 
        add_31_23                          82    2710.939    152226.822    154937.761 
          RC_CG_HIER_INST409                1      34.558      3424.346      3458.904 
        RC_CG_HIER_INST408                  1      34.558      4464.268      4498.825 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[0].Ma[9].ACC           136    3802.448    225693.951    229496.399 
        add_31_23                          89    2695.086    153468.875    156163.960 
          RC_CG_HIER_INST32                 1      34.558      3408.551      3443.109 
        RC_CG_HIER_INST31                   1      34.558      4448.473      4483.031 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..3].Ma[10].ACC           141    3790.772    224788.926    228579.698 
        add_31_23                          94    2675.508    153008.095    155683.602 
          RC_CG_HIER_INST411                1      34.558      3414.959      3449.517 
        RC_CG_HIER_INST410                  1      34.558      4454.881      4489.439 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[7].Ma[7].ACC           141    3783.239    224140.338    227923.577 
        add_31_23                          93    2642.871    151516.939    154159.810 
          RC_CG_HIER_INST231                1      34.558      3427.748      3462.306 
        RC_CG_HIER_INST230                  1      34.558      4467.670      4502.228 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..7].Ma[10].ACC           140    3778.747    224885.186    228663.933 
        add_31_23                          93    2660.423    152499.076    155159.499 
          RC_CG_HIER_INST237                1      34.558      3414.959      3449.517 
        RC_CG_HIER_INST236                  1      34.558      4454.881      4489.439 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[7].Ma[5].ACC           128    3778.599    219520.391    223298.991 
        add_31_23                          81    2679.730    147582.124    150261.854 
          RC_CG_HIER_INST227                1      34.558      3427.393      3461.950 
        RC_CG_HIER_INST226                  1      34.558      4467.315      4501.872 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[9].Ma[1].ACC           128    3771.378    220036.511    223807.889 
        add_31_23                          81    2665.032    147799.942    150464.974 
          RC_CG_HIER_INST277                1      34.558      3425.615      3460.173 
        RC_CG_HIER_INST276                  1      34.558      4465.537      4500.095 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..1].Ma[10].ACC           102    3766.650    209814.609    213581.259 
        add_31_23                          55    2662.722    137789.229    140451.950 
          RC_CG_HIER_INST63                 1      34.558      3399.616      3434.174 
        RC_CG_HIER_INST62                   1      34.558      4439.538      4474.095 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..4].Ma[11].ACC           128    3762.333    222154.982    225917.316 
        add_31_23                          81    2656.386    149921.437    152577.824 
          RC_CG_HIER_INST152                1      34.558      3420.143      3454.701 
        RC_CG_HIER_INST151                  1      34.558      4460.065      4494.623 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[7].Ma[6].ACC           140    3747.528    220048.318    223795.846 
        add_31_23                          92    2623.549    148133.121    150756.670 
          RC_CG_HIER_INST229                1      34.558      3426.858      3461.416 
        RC_CG_HIER_INST228                  1      34.558      4466.780      4501.337 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[3].Ma[3].ACC            92    3722.852    214754.309    218477.161 
        add_31_23                          45    2619.186    142391.874    145011.060 
          RC_CG_HIER_INST107                1      34.558      3338.493      3373.050 
        RC_CG_HIER_INST106                  1      34.558      4439.586      4474.144 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[9].Ma[5].ACC           139    3703.380    225703.881    229407.262 
        add_31_23                          92    2584.732    153135.808    155720.539 
          RC_CG_HIER_INST285                1      34.558      3427.393      3461.950 
        RC_CG_HIER_INST284                  1      34.558      4467.315      4501.872 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
      Ca[0].Ga[0..[8].Ma[5].ACC           110    3702.827    213238.444    216941.271 
        add_31_23                          43    2326.268    140457.189    142783.457 
          RC_CG_HIER_INST256                1      34.558      3427.393      3461.950 
        RC_CG_HIER_INST255                  1      34.558      4467.315      4501.872 
        REG                                 0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
          data_out_r..]_state_point         0       0.000         0.000         0.000 
