============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
      Ca[0].Ga[0].Ua[2].Ma[51].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         272    547.546    175.177      722.723 
        MUL                                       multiplier_raw_243                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_243                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[2].Ma[90].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_282                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_282                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[89].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_281                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_281                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[88].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_280                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_280                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[87].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_279                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_279                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[86].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_278                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_278                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[85].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_277                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_277                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[84].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_276                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_276                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[83].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_275                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_275                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[82].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_274                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_274                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[60].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_252                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_252                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[59].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_251                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_251                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[58].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_250                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_250                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[57].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_249                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_249                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[56].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_248                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_248                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[55].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_247                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_247                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[54].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_246                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_246                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[53].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_245                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_245                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[52].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_244                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_244                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[61].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_253                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_253                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[91].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_283                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_283                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[49].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_241                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_241                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[48].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_240                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_240                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[47].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_239                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_239                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[46].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_238                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_238                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[45].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_237                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_237                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[44].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_236                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_236                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[43].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         271    546.487    174.702      721.189 
        MUL                                       multiplier_raw_235                                         153    270.068    105.002      375.070 
        ACC                                       accumulator_raw_235                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[81].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         270    546.487    173.763      720.251 
        MUL                                       multiplier_raw_273                                         151    269.010    103.588      372.598 
        ACC                                       accumulator_raw_273                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[5].Ma[92].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         267    545.076    171.411      716.487 
        MUL                                       multiplier_raw_572                                         148    267.599    101.235      368.834 
        ACC                                       accumulator_raw_572                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[5].Ma[53].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         266    545.076    170.935      716.011 
        MUL                                       multiplier_raw_533                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_533                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[5].Ma[11].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         266    545.076    170.935      716.011 
        MUL                                       multiplier_raw_491                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_491                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[5].Ma[54].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_534                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_534                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[55].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_535                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_535                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[56].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_536                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_536                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[57].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_537                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_537                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[58].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_538                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_538                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[59].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_539                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_539                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[60].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_540                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_540                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[61].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_541                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_541                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[62].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_542                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_542                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[63].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_543                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_543                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[64].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_544                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_544                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[67].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_547                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_547                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[81].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_561                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_561                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[93].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_573                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_573                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[82].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    544.018    170.460      714.478 
        MUL                                       multiplier_raw_562                                         147    267.599    100.760      368.358 
        ACC                                       accumulator_raw_562                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[3].Ma[89].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         264    544.018    170.216      714.234 
        MUL                                       multiplier_raw_377                                         146    267.599    100.516      368.115 
        ACC                                       accumulator_raw_377                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[3].Ma[53].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         264    544.018    170.216      714.234 
        MUL                                       multiplier_raw_341                                         146    267.599    100.516      368.115 
        ACC                                       accumulator_raw_341                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[4].Ma[94].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         266    542.430    170.460      712.890 
        MUL                                       multiplier_raw_478                                         147    264.953     99.821      364.774 
        ACC                                       accumulator_raw_478                                         94    238.846     49.063      287.909 
      Ca[0].Ga[0].Ua[3].Ma[83].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    542.430    169.265      711.695 
        MUL                                       multiplier_raw_371                                         144    266.011     99.565      365.576 
        ACC                                       accumulator_raw_371                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[3].Ma[63].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    542.430    169.265      711.695 
        MUL                                       multiplier_raw_351                                         144    266.011     99.565      365.576 
        ACC                                       accumulator_raw_351                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[0].Ma[94].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    541.372    169.521      710.893 
        MUL                                       multiplier_raw_94                                          147    264.953     99.821      364.774 
        ACC                                       accumulator_raw_94                                          93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[2].Ma[94].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    541.372    169.521      710.893 
        MUL                                       multiplier_raw_286                                         147    264.953     99.821      364.774 
        ACC                                       accumulator_raw_286                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[6].Ma[94].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         265    541.372    169.521      710.893 
        MUL                                       multiplier_raw_670                                         147    264.953     99.821      364.774 
        ACC                                       accumulator_raw_670                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[1].Ma[92].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_188                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_188                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[1].Ma[83].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_179                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_179                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[1].Ma[58].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_154                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_154                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[1].Ma[88].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_184                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_184                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[1].Ma[52].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_148                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_148                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[5].Ma[38].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_518                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_518                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[2].Ma[25].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_217                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_217                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[2].Ma[64].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_256                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_256                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[4].Ma[67].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_451                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_451                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[6].Ma[62].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_638                                         144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_638                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[0].Ma[62].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    541.548    169.278      710.826 
        MUL                                       multiplier_raw_62                                          144    264.071     99.102      363.173 
        ACC                                       accumulator_raw_62                                          94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[3].Ma[67].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_355                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_355                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[3].Ma[52].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_340                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_340                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[16].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_496                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_496                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[15].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_495                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_495                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[8].PROCESSING_ELEMENT  processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_488                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_488                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[7].PROCESSING_ELEMENT  processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_487                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_487                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[6].PROCESSING_ELEMENT  processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_486                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_486                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[4].PROCESSING_ELEMENT  processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_484                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_484                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[3].PROCESSING_ELEMENT  processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_483                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_483                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[2].PROCESSING_ELEMENT  processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_482                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_482                                         93    237.787     48.125      285.912 
      Ca[0].Ga[0].Ua[5].Ma[1].PROCESSING_ELEMENT  processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         262    541.901    168.802      710.703 
        MUL                                       multiplier_raw_481                                         144    265.482     99.102      364.584 
        ACC                                       accumulator_raw_481                                         93    237.787     48.125      285.912 
