============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 29 2021  05:04:11 pm
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpcgtc 200
                          tcbn45gsbwptc 120
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                     Instance                                           Module                        Cell Count  Cell Area   Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------------------------------------
axis_accelerator_asic                                                                                     277783 658755.392 216142.236   874897.629 
  CONV_ENGINE                                     axis_conv_engine_ZERO0                                  175021 366325.646 132439.917   498765.563 
    ENGINE                                        conv_engine_ZERO0                                       174980 366202.519 132345.423   498547.942 
      Ca[0].Ga[0].Ua[2].Ma[95].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         286    661.676    192.767      854.443 
        MUL                                       multiplier_raw_287                                         141    295.117    104.916      400.033 
          mul_59_21                               mult_signed_671_11640                                      141    295.117    104.916      400.033 
        ACC                                       accumulator_raw_287                                        120    327.928     66.275      394.203 
      Ca[0].Ga[0].Ua[1].Ma[95].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         285    658.148    191.597      849.745 
        MUL                                       multiplier_raw_191                                         140    291.589    103.746      395.335 
          mul_59_21                               mult_signed_671_11448                                      140    291.589    103.746      395.335 
        ACC                                       accumulator_raw_191                                        120    327.928     66.275      394.203 
      Ca[0].Ga[0].Ua[3].Ma[95].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         285    658.148    191.597      849.745 
        MUL                                       multiplier_raw_383                                         140    291.589    103.746      395.335 
          mul_59_21                               mult_signed_671_11832                                      140    291.589    103.746      395.335 
        ACC                                       accumulator_raw_383                                        120    327.928     66.275      394.203 
      Ca[0].Ga[0].Ua[4].Ma[95].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         285    658.148    191.597      849.745 
        MUL                                       multiplier_raw_479                                         140    291.589    103.746      395.335 
          mul_59_21                               mult_signed_671_12024                                      140    291.589    103.746      395.335 
        ACC                                       accumulator_raw_479                                        120    327.928     66.275      394.203 
      Ca[0].Ga[0].Ua[6].Ma[95].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         285    658.148    191.597      849.745 
        MUL                                       multiplier_raw_671                                         140    291.589    103.746      395.335 
          mul_59_21                               mult_signed_671                                            140    291.589    103.746      395.335 
        ACC                                       accumulator_raw_671                                        120    327.928     66.275      394.203 
      Ca[0].Ga[0].Ua[5].Ma[95].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    634.864    176.043      810.906 
        MUL                                       multiplier_raw_575                                         140    291.589    103.746      395.335 
          mul_59_21                               mult_signed_671_12216                                      140    291.589    103.746      395.335 
        ACC                                       accumulator_raw_575                                         98    304.643     50.721      355.364 
      Ca[0].Ga[0].Ua[0].Ma[95].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         263    634.864    176.043      810.906 
        MUL                                       multiplier_raw_95                                          140    291.589    103.746      395.335 
          mul_59_21                               mult_signed_671_11256                                      140    291.589    103.746      395.335 
        ACC                                       accumulator_raw_95                                          98    304.643     50.721      355.364 
      Ca[0].Ga[0].Ua[2].Ma[42].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         272    547.898    175.177      723.076 
        MUL                                       multiplier_raw_234                                         153    270.421    105.002      375.423 
        ACC                                       accumulator_raw_234                                         94    238.846     48.600      287.446 
      Ca[0].Ga[0].Ua[5].Ma[94].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         274    547.546    175.421      722.967 
        MUL                                       multiplier_raw_574                                         156    271.127    105.721      376.848 
        ACC                                       accumulator_raw_574                                         93    237.787     48.125      285.912 
