============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 18 2021  03:36:02 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpcgtc 200
                          tcbn45gsbwptc 120
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    
    Gate      Instances     Area         Library     
DFQD2BWP            113     438.530    tcbn45gsbwptc 
DFQD4BWP            245    1037.232    tcbn45gsbwptc 
DFSND4BWP             2      11.995    tcbn45gsbwptc 
DFSNQD1BWP            9      38.102    tcbn45gsbwptc 
DFSNQD4BWP           11      54.331    tcbn45gsbwptc 
DFXQD1BWP            15      71.442    tcbn45gsbwptc 
EDFCNQD1BWP          98     553.190    tcbn45gsbwptc 
EDFD1BWP              1       5.116    tcbn45gsbwptc 
EDFQD1BWP            33     157.172    tcbn45gsbwptc 
EDFQD2BWP             3      15.347    tcbn45gsbwptc 
FA1D0BWP          25024  110355.840    tcbn45gsbwptc 
FA1D1BWP           7760   41065.920    tcbn45gsbwptc 
FA1D2BWP           2342   12806.993    tcbn45gsbwptc 
FA1D4BWP             69     511.207    tcbn45gsbwptc 
FCICIND1BWP          47     107.780    tcbn45gsbwptc 
FCICIND2BWP          18      44.453    tcbn45gsbwptc 
FCICOND1BWP         155     246.078    tcbn45gsbwptc 
FCICOND2BWP          58     143.237    tcbn45gsbwptc 
FICIND1BWP           38     194.393    tcbn45gsbwptc 
FICIND2BWP           87     537.138    tcbn45gsbwptc 
FICOND1BWP           10      54.684    tcbn45gsbwptc 
FICOND2BWP           22     135.828    tcbn45gsbwptc 
HA1D0BWP           3194    9578.167    tcbn45gsbwptc 
HA1D1BWP            226     717.595    tcbn45gsbwptc 
HA1D2BWP            183     645.624    tcbn45gsbwptc 
HCOSCIND1BWP          5      28.224    tcbn45gsbwptc 
HICIND1BWP           12      42.336    tcbn45gsbwptc 
HICOND1BWP           45     142.884    tcbn45gsbwptc 
HICOND2BWP            8      31.046    tcbn45gsbwptc 
IAO21D1BWP           86     106.193    tcbn45gsbwptc 
IAO21D2BWP           49      77.792    tcbn45gsbwptc 
IAO22D2BWP           19      40.219    tcbn45gsbwptc 
IAO22D4BWP            4      12.701    tcbn45gsbwptc 
IIND4D1BWP            2       3.881    tcbn45gsbwptc 
IND2D1BWP          2789    2951.878    tcbn45gsbwptc 
IND2D2BWP           412     581.414    tcbn45gsbwptc 
IND2D4BWP             4      11.290    tcbn45gsbwptc 
IND3D1BWP            31      38.279    tcbn45gsbwptc 
IND3D2BWP             4       8.467    tcbn45gsbwptc 
IND4D1BWP            59      83.261    tcbn45gsbwptc 
INR2D1BWP          9225    9763.740    tcbn45gsbwptc 
INR2D2BWP          1211    1708.963    tcbn45gsbwptc 
