============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 04 2021  10:01:56 pm
  Module:                 axis_conv_engine
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                           Leakage      Dynamic       Total    
            Instance              Cells   Power(nW)    Power(nW)    Power(nW)  
      mul_74_23                     552    12104.218    34326.219    46430.437 
      REG                            64     7364.191    18599.884    25964.075 
    Cm[0].Gm[0..1].Mm[11].MUL       616    19468.409    53624.728    73093.136 
      mul_74_23                     552    12104.218    35587.802    47692.019 
      REG                            64     7364.191    18036.926    25401.117 
    Cm[0].Gm[0..1].Mm[12].MUL       616    19468.409    53627.729    73096.137 
      mul_74_23                     552    12104.218    35444.816    47549.034 
      REG                            64     7364.191    18182.912    25547.103 
    Cm[0].Gm[0..1].Mm[13].MUL       616    19468.409    53234.360    72702.769 
      mul_74_23                     552    12104.218    35395.950    47500.168 
      REG                            64     7364.191    17838.410    25202.601 
    Cm[0].Gm[0..[2].Mm[0].MUL       616    19468.409    51238.832    70707.241 
      mul_74_23                     552    12104.218    33311.607    45415.825 
      REG                            64     7364.191    17927.225    25291.416 
    Cm[0].Gm[0..[2].Mm[1].MUL       616    19468.409    53959.969    73428.377 
      mul_74_23                     552    12104.218    36266.889    48371.107 
      REG                            64     7364.191    17693.079    25057.270 
    Cm[0].Gm[0..[2].Mm[2].MUL       616    19468.409    50678.019    70146.428 
      mul_74_23                     552    12104.218    32918.032    45022.250 
      REG                            64     7364.191    17759.987    25124.178 
    Cm[0].Gm[0..[2].Mm[3].MUL       616    19468.409    53471.539    72939.948 
      mul_74_23                     552    12104.218    35617.928    47722.146 
      REG                            64     7364.191    17853.612    25217.802 
    Cm[0].Gm[0..[2].Mm[4].MUL       616    19468.409    53833.802    73302.211 
      mul_74_23                     552    12104.218    36750.831    48855.048 
      REG                            64     7364.191    17082.972    24447.162 
    Cm[0].Gm[0..[2].Mm[5].MUL       616    19468.409    55457.079    74925.488 
      mul_74_23                     552    12104.218    37619.840    49724.058 
      REG                            64     7364.191    17837.239    25201.430 
    Cm[0].Gm[0..[2].Mm[6].MUL       616    19468.409    50619.083    70087.492 
      mul_74_23                     552    12104.218    32357.120    44461.338 
      REG                            64     7364.191    18261.963    25626.153 
    Cm[0].Gm[0..[2].Mm[7].MUL       616    19468.409    49757.243    69225.651 
      mul_74_23                     552    12104.218    31630.105    43734.323 
      REG                            64     7364.191    18127.138    25491.328 
    Cm[0].Gm[0..[2].Mm[8].MUL       616    19468.409    52350.834    71819.242 
      mul_74_23                     552    12104.218    34510.790    46615.008 
      REG                            64     7364.191    17840.044    25204.234 
    Cm[0].Gm[0..[2].Mm[9].MUL       616    19468.409    52348.494    71816.903 
      mul_74_23                     552    12104.218    34545.210    46649.428 
      REG                            64     7364.191    17803.284    25167.475 
    Cm[0].Gm[0..2].Mm[10].MUL       616    19468.409    54602.925    74071.334 
      mul_74_23                     552    12104.218    36289.666    48393.884 
      REG                            64     7364.191    18313.260    25677.450 
    Cm[0].Gm[0..2].Mm[11].MUL       616    19468.409    53175.081    72643.490 
      mul_74_23                     552    12104.218    35059.126    47163.344 
      REG                            64     7364.191    18115.955    25480.146 
    Cm[0].Gm[0..2].Mm[12].MUL       616    19468.409    55282.663    74751.071 
      mul_74_23                     552    12104.218    36950.020    49054.238 
      REG                            64     7364.191    18332.643    25696.834 
    Cm[0].Gm[0..2].Mm[13].MUL       616    19468.409    54159.519    73627.928 
      mul_74_23                     552    12104.218    36078.284    48182.501 
      REG                            64     7364.191    18081.236    25445.426 
    Cm[0].Gm[0..[3].Mm[0].MUL       616    19468.409    55053.178    74521.587 
      mul_74_23                     552    12104.218    37426.827    49531.045 
      REG                            64     7364.191    17626.351    24990.542 
    Cm[0].Gm[0..[3].Mm[1].MUL       616    19468.409    53516.734    72985.143 
      mul_74_23                     552    12104.218    35300.309    47404.527 
      REG                            64     7364.191    18216.426    25580.616 
    Cm[0].Gm[0..[3].Mm[2].MUL       616    19468.409    53333.230    72801.638 
      mul_74_23                     552    12104.218    35339.348    47443.566 
      REG                            64     7364.191    17993.881    25358.072 
    Cm[0].Gm[0..[3].Mm[3].MUL       616    19468.409    54528.626    73997.035 
      mul_74_23                     552    12104.218    36094.825    48199.042 
      REG                            64     7364.191    18433.801    25797.992 
    Cm[0].Gm[0..[3].Mm[4].MUL       616    19468.409    54191.576    73659.985 
      mul_74_23                     552    12104.218    36559.499    48663.717 
      REG                            64     7364.191    17632.078    24996.268 
    Cm[0].Gm[0..[3].Mm[5].MUL       616    19468.409    53807.798    73276.207 
      mul_74_23                     552    12104.218    35514.192    47618.410 
      REG                            64     7364.191    18293.607    25657.797 
    Cm[0].Gm[0..[3].Mm[6].MUL       616    19468.409    53756.565    73224.973 
      mul_74_23                     552    12104.218    35305.527    47409.745 
      REG                            64     7364.191    18451.038    25815.228 
    Cm[0].Gm[0..[3].Mm[7].MUL       616    19468.409    52852.635    72321.044 
      mul_74_23                     552    12104.218    34624.742    46728.960 
      REG                            64     7364.191    18227.893    25592.084 
    Cm[0].Gm[0..[3].Mm[8].MUL       616    19468.409    52934.552    72402.960 
      mul_74_23                     552    12104.218    34861.697    46965.915 
      REG                            64     7364.191    18072.854    25437.045 
    Cm[0].Gm[0..[3].Mm[9].MUL       616    19468.409    55028.979    74497.387 
      mul_74_23                     552    12104.218    36220.646    48324.863 
      REG                            64     7364.191    18808.333    26172.524 
    Cm[0].Gm[0..3].Mm[10].MUL       616    19468.409    56424.622    75893.030 
      mul_74_23                     552    12104.218    37665.601    49769.819 
      REG                            64     7364.191    18759.020    26123.211 
    Cm[0].Gm[0..3].Mm[11].MUL       616    19468.409    54281.200    73749.609 
      mul_74_23                     552    12104.218    35691.122    47795.340 
      REG                            64     7364.191    18590.078    25954.269 
    Cm[0].Gm[0..3].Mm[12].MUL       616    19468.409    54896.096    74364.505 
      mul_74_23                     552    12104.218    36080.296    48184.514 
      REG                            64     7364.191    18815.800    26179.991 
    Cm[0].Gm[0..3].Mm[13].MUL       616    19468.409    53781.655    73250.064 
      mul_74_23                     552    12104.218    35725.373    47829.591 
      REG                            64     7364.191    18056.283    25420.473 
    Cm[0].Gm[0..[4].Mm[0].MUL       616    19468.409    51504.393    70972.801 
      mul_74_23                     552    12104.218    34080.966    46185.184 
      REG                            64     7364.191    17423.427    24787.617 
    Cm[0].Gm[0..[4].Mm[1].MUL       616    19468.409    52358.081    71826.490 
      mul_74_23                     552    12104.218    34654.932    46759.150 
      REG                            64     7364.191    17703.149    25067.339 
    Cm[0].Gm[0..[4].Mm[2].MUL       616    19468.409    52521.954    71990.363 
      mul_74_23                     552    12104.218    34239.936    46344.154 
      REG                            64     7364.191    18282.018    25646.208 
    Cm[0].Gm[0..[4].Mm[3].MUL       616    19468.409    56572.895    76041.304 
      mul_74_23                     552    12104.218    38367.188    50471.406 
      REG                            64     7364.191    18205.707    25569.897 
    Cm[0].Gm[0..[4].Mm[4].MUL       616    19468.409    52978.237    72446.645 
      mul_74_23                     552    12104.218    34636.293    46740.511 
      REG                            64     7364.191    18341.943    25706.134 
    Cm[0].Gm[0..[4].Mm[5].MUL       616    19468.409    56798.623    76267.031 
      mul_74_23                     552    12104.218    37851.611    49955.829 
      REG                            64     7364.191    18947.012    26311.203 
    Cm[0].Gm[0..[4].Mm[6].MUL       616    19468.409    54812.121    74280.529 
      mul_74_23                     552    12104.218    36507.543    48611.761 
      REG                            64     7364.191    18304.577    25668.768 
    Cm[0].Gm[0..[4].Mm[7].MUL       616    19468.409    53005.311    72473.719 
      mul_74_23                     552    12104.218    34685.649    46789.867 
      REG                            64     7364.191    18319.661    25683.852 
    Cm[0].Gm[0..[4].Mm[8].MUL       616    19468.409    55559.987    75028.395 
      mul_74_23                     552    12104.218    37606.897    49711.115 
      REG                            64     7364.191    17953.090    25317.280 
    Cm[0].Gm[0..[4].Mm[9].MUL       616    19468.409    54005.738    73474.146 
      mul_74_23                     552    12104.218    36066.411    48170.629 
      REG                            64     7364.191    17939.327    25303.517 
    Cm[0].Gm[0..4].Mm[10].MUL       616    19468.409    53195.657    72664.065 
      mul_74_23                     552    12104.218    35020.395    47124.613 
      REG                            64     7364.191    18175.262    25539.453 
    Cm[0].Gm[0..4].Mm[11].MUL       616    19468.409    54931.730    74400.138 
      mul_74_23                     552    12104.218    36326.532    48430.750 
      REG                            64     7364.191    18605.198    25969.388 
    Cm[0].Gm[0..4].Mm[12].MUL       616    19468.409    55360.222    74828.630 
      mul_74_23                     552    12104.218    37090.481    49194.699 
      REG                            64     7364.191    18269.741    25633.932 
    Cm[0].Gm[0..4].Mm[13].MUL       616    19468.409    53466.089    72934.497 
      mul_74_23                     552    12104.218    35405.405    47509.623 
      REG                            64     7364.191    18060.684    25424.875 
    Cm[0].Gm[0..[5].Mm[0].MUL       616    19468.409    53755.217    73223.625 
      mul_74_23                     552    12104.218    36065.888    48170.106 
      REG                            64     7364.191    17689.328    25053.519 
    Cm[0].Gm[0..[5].Mm[1].MUL       616    19468.409    54610.145    74078.553 
      mul_74_23                     552    12104.218    36508.659    48612.877 
      REG                            64     7364.191    18101.486    25465.676 
    Cm[0].Gm[0..[5].Mm[2].MUL       616    19468.409    52128.397    71596.806 
      mul_74_23                     552    12104.218    34399.146    46503.364 
      REG                            64     7364.191    17729.251    25093.442 
    Cm[0].Gm[0..[5].Mm[3].MUL       616    19468.409    56551.214    76019.622 
      mul_74_23                     552    12104.218    37675.445    49779.662 
      REG                            64     7364.191    18875.769    26239.960 
    Cm[0].Gm[0..[5].Mm[4].MUL       616    19468.409    52988.094    72456.502 
      mul_74_23                     552    12104.218    34653.157    46757.375 
      REG                            64     7364.191    18334.937    25699.127 
    Cm[0].Gm[0..[5].Mm[5].MUL       616    19468.409    54304.463    73772.871 
      mul_74_23                     552    12104.218    35639.704    47743.922 
      REG                            64     7364.191    18664.759    26028.949 
    Cm[0].Gm[0..[5].Mm[6].MUL       616    19468.409    53970.624    73439.032 
      mul_74_23                     552    12104.218    35286.388    47390.606 
      REG                            64     7364.191    18684.236    26048.426 
    Cm[0].Gm[0..[5].Mm[7].MUL       616    19468.409    51368.057    70836.466 
      mul_74_23                     552    12104.218    33226.894    45331.112 
      REG                            64     7364.191    18141.163    25505.353 
    Cm[0].Gm[0..[5].Mm[8].MUL       616    19468.409    52647.012    72115.420 
      mul_74_23                     552    12104.218    34793.436    46897.654 
      REG                            64     7364.191    17853.575    25217.766 
    Cm[0].Gm[0..[5].Mm[9].MUL       616    19468.409    53953.917    73422.326 
      mul_74_23                     552    12104.218    35505.885    47610.103 
      REG                            64     7364.191    18448.032    25812.223 
    Cm[0].Gm[0..5].Mm[10].MUL       616    19468.409    54769.644    74238.053 
      mul_74_23                     552    12104.218    35876.711    47980.929 
      REG                            64     7364.191    18892.933    26257.124 
    Cm[0].Gm[0..5].Mm[11].MUL       616    19468.409    54689.292    74157.701 
      mul_74_23                     552    12104.218    36247.416    48351.634 
      REG                            64     7364.191    18441.876    25806.067 
    Cm[0].Gm[0..5].Mm[12].MUL       616    19468.409    54195.989    73664.398 
      mul_74_23                     552    12104.218    34953.108    47057.326 
      REG                            64     7364.191    19242.881    26607.072 
    Cm[0].Gm[0..5].Mm[13].MUL       616    19468.409    51580.882    71049.291 
      mul_74_23                     552    12104.218    33304.964    45409.182 
      REG                            64     7364.191    18275.918    25640.108 
    Cm[0].Gm[0..[6].Mm[0].MUL       616    19468.409    54666.687    74135.096 
      mul_74_23                     552    12104.218    35836.031    47940.249 
      REG                            64     7364.191    18830.656    26194.847 
    Cm[0].Gm[0..[6].Mm[1].MUL       616    19468.409    54032.964    73501.373 
      mul_74_23                     552    12104.218    35908.263    48012.480 
      REG                            64     7364.191    18124.702    25488.893 
    Cm[0].Gm[0..[6].Mm[2].MUL       616    19468.409    56873.809    76342.218 
      mul_74_23                     552    12104.218    38430.577    50534.794 
      REG                            64     7364.191    18443.233    25807.424 
    Cm[0].Gm[0..[6].Mm[3].MUL       616    19468.409    56506.524    75974.932 
      mul_74_23                     552    12104.218    37905.248    50009.466 
      REG                            64     7364.191    18601.276    25965.466 
    Cm[0].Gm[0..[6].Mm[4].MUL       616    19468.409    55988.556    75456.965 
      mul_74_23                     552    12104.218    37492.327    49596.545 
      REG                            64     7364.191    18496.229    25860.420 
    Cm[0].Gm[0..[6].Mm[5].MUL       616    19468.409    56103.508    75571.917 
      mul_74_23                     552    12104.218    37026.914    49131.132 
      REG                            64     7364.191    19076.594    26440.785 
    Cm[0].Gm[0..[6].Mm[6].MUL       616    19468.409    53692.320    73160.729 
      mul_74_23                     552    12104.218    35339.822    47444.039 
      REG                            64     7364.191    18352.499    25716.689 
    Cm[0].Gm[0..[6].Mm[7].MUL       616    19468.409    52967.074    72435.483 
      mul_74_23                     552    12104.218    34528.971    46633.188 
      REG                            64     7364.191    18438.104    25802.294 
    Cm[0].Gm[0..[6].Mm[8].MUL       616    19468.409    54565.269    74033.677 
      mul_74_23                     552    12104.218    35254.429    47358.647 
      REG                            64     7364.191    19310.839    26675.030 
    Cm[0].Gm[0..[6].Mm[9].MUL       616    19468.409    53954.641    73423.050 
      mul_74_23                     552    12104.218    35030.337    47134.555 
      REG                            64     7364.191    18924.304    26288.495 
    Cm[0].Gm[0..6].Mm[10].MUL       616    19468.409    56144.240    75612.648 
      mul_74_23                     552    12104.218    37405.125    49509.343 
      REG                            64     7364.191    18739.114    26103.305 
    Cm[0].Gm[0..6].Mm[11].MUL       616    19468.409    55790.715    75259.124 
      mul_74_23                     552    12104.218    37232.077    49336.294 
      REG                            64     7364.191    18558.639    25922.829 
    Cm[0].Gm[0..6].Mm[12].MUL       616    19468.409    55085.606    74554.015 
      mul_74_23                     552    12104.218    36520.065    48624.283 
      REG                            64     7364.191    18565.541    25929.731 
    Cm[0].Gm[0..6].Mm[13].MUL       616    19468.409    53646.786    73115.195 
      mul_74_23                     552    12104.218    35669.067    47773.285 
      REG                            64     7364.191    17977.719    25341.910 
    Cm[0].Gm[0..[7].Mm[0].MUL       616    19468.409    50630.234    70098.642 
      mul_74_23                     552    12104.218    33035.286    45139.504 
      REG                            64     7364.191    17594.948    24959.138 
    Cm[0].Gm[0..[7].Mm[1].MUL       616    19468.409    51601.417    71069.825 
      mul_74_23                     552    12104.218    33978.499    46082.716 
      REG                            64     7364.191    17622.918    24987.109 
