============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 04 2021  10:01:45 pm
  Module:                 axis_conv_engine
  Technology libraries:   tcbn45gsbwpbc0d88 120
                          tcbn45gsbwpbc0d880d88 120
                          tcbn45gsbwpbc0d880d99 120
                          tcbn45gsbwpbc0d881d1 120
                          physical_cells 
  Operating conditions:   BC0D88COM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                     Module                        Cell Count  Cell Area  Net Area   Total Area 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_184               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[13].Mm[0].MUL     multiplier_raw_182                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_183               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[13].MUL    multiplier_raw_181                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_182               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[12].MUL    multiplier_raw_180                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_181               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[11].MUL    multiplier_raw_179                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_180               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[10].MUL    multiplier_raw_178                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_179               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[9].MUL     multiplier_raw_177                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_178               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[8].MUL     multiplier_raw_176                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_177               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[7].MUL     multiplier_raw_175                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_176               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[6].MUL     multiplier_raw_174                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_175               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[5].MUL     multiplier_raw_173                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_174               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[4].MUL     multiplier_raw_172                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_173               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[3].MUL     multiplier_raw_171                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_172               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[2].MUL     multiplier_raw_170                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_171               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[1].MUL     multiplier_raw_169                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_170               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[12].Mm[0].MUL     multiplier_raw_168                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_169               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[13].MUL    multiplier_raw_167                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_168               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[12].MUL    multiplier_raw_166                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_167               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[11].MUL    multiplier_raw_165                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_166               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[10].MUL    multiplier_raw_164                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_165               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[9].MUL     multiplier_raw_163                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_164               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[8].MUL     multiplier_raw_162                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_163               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[7].MUL     multiplier_raw_161                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_162               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[6].MUL     multiplier_raw_160                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_161               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[5].MUL     multiplier_raw_159                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_160               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[4].MUL     multiplier_raw_158                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_159               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[3].MUL     multiplier_raw_157                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_158               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[2].MUL     multiplier_raw_156                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_157               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[1].MUL     multiplier_raw_155                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_156               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[11].Mm[0].MUL     multiplier_raw_154                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_155               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[13].MUL    multiplier_raw_153                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_154               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[12].MUL    multiplier_raw_152                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_153               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[11].MUL    multiplier_raw_151                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_152               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[10].MUL    multiplier_raw_150                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_151               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[9].MUL     multiplier_raw_149                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_150               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[8].MUL     multiplier_raw_148                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_149               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[7].MUL     multiplier_raw_147                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_148               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[6].MUL     multiplier_raw_146                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_147               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[5].MUL     multiplier_raw_145                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_146               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[4].MUL     multiplier_raw_144                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_145               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[3].MUL     multiplier_raw_143                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_144               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[2].MUL     multiplier_raw_142                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_143               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[1].MUL     multiplier_raw_141                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_142               64    174.695     0.000      174.695 
    Cm[0].Gm[0].Um[10].Mm[0].MUL     multiplier_raw_140                                         616   1101.080     0.000     1101.080 
      mul_74_23                      mult_signed_195                                            552    926.385     0.000      926.385 
