============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:10:51 pm
  Module:                 axis_conv_engine
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         Leakage      Dynamic       Total    
            Instance             Cells  Power(nW)    Power(nW)    Power(nW)  
    Ca[0].Ga[0..[3].Ma[1].ACC        0       0.000  1349653.291  1349653.291 
    Ca[0].Ga[0..[3].Ma[2].ACC        0       0.000  1349565.873  1349565.873 
    Ca[0].Ga[0..[3].Ma[3].ACC        0       0.000  1349428.940  1349428.940 
    Ca[0].Ga[0..[3].Ma[4].ACC        0       0.000  1349522.611  1349522.611 
    Ca[0].Ga[0..[3].Ma[5].ACC        0       0.000  1349506.914  1349506.914 
    Ca[0].Ga[0..[3].Ma[6].ACC        0       0.000  1349612.836  1349612.836 
    Ca[0].Ga[0..[3].Ma[7].ACC        0       0.000  1349378.148  1349378.148 
    Ca[0].Ga[0..[3].Ma[8].ACC        0       0.000  1349523.631  1349523.631 
    Ca[0].Ga[0..[3].Ma[9].ACC        0       0.000  1349391.037  1349391.037 
    Ca[0].Ga[0..3].Ma[10].ACC        0       0.000  1349528.864  1349528.864 
    Ca[0].Ga[0..3].Ma[11].ACC        0       0.000  1348085.769  1348085.769 
    Ca[0].Ga[1..[0].Ma[0].ACC        0       0.000  1348789.833  1348789.833 
    Ca[0].Ga[1..[0].Ma[1].ACC        0       0.000  1349417.964  1349417.964 
    Ca[0].Ga[1..[0].Ma[2].ACC        0       0.000  1349495.939  1349495.939 
    Ca[0].Ga[1..[0].Ma[3].ACC        0       0.000  1349466.076  1349466.076 
    Ca[0].Ga[1..[0].Ma[4].ACC        0       0.000  1349552.345  1349552.345 
    Ca[0].Ga[1..[0].Ma[5].ACC        0       0.000  1349442.339  1349442.339 
    Ca[0].Ga[1..[0].Ma[6].ACC        0       0.000  1349573.402  1349573.402 
    Ca[0].Ga[1..[0].Ma[7].ACC        0       0.000  1349469.905  1349469.905 
    Ca[0].Ga[1..[0].Ma[8].ACC        0       0.000  1349519.292  1349519.292 
    Ca[0].Ga[1..[0].Ma[9].ACC        0       0.000  1349530.650  1349530.650 
    Ca[0].Ga[1..0].Ma[10].ACC        0       0.000  1349511.635  1349511.635 
    Ca[0].Ga[1..0].Ma[11].ACC        0       0.000  1348287.149  1348287.149 
    Ca[0].Ga[1..[1].Ma[0].ACC        0       0.000  1349034.858  1349034.858 
    Ca[0].Ga[1..[1].Ma[1].ACC        0       0.000  1349422.814  1349422.814 
    Ca[0].Ga[1..[1].Ma[2].ACC        0       0.000  1349508.317  1349508.317 
    Ca[0].Ga[1..[1].Ma[3].ACC        0       0.000  1349539.966  1349539.966 
    Ca[0].Ga[1..[1].Ma[4].ACC        0       0.000  1349612.325  1349612.325 
    Ca[0].Ga[1..[1].Ma[5].ACC        0       0.000  1349528.609  1349528.609 
    Ca[0].Ga[1..[1].Ma[6].ACC        0       0.000  1349468.756  1349468.756 
    Ca[0].Ga[1..[1].Ma[7].ACC        0       0.000  1349370.618  1349370.618 
    Ca[0].Ga[1..[1].Ma[8].ACC        0       0.000  1349439.915  1349439.915 
    Ca[0].Ga[1..[1].Ma[9].ACC        0       0.000  1349493.514  1349493.514 
    Ca[0].Ga[1..1].Ma[10].ACC        0       0.000  1349489.685  1349489.685 
    Ca[0].Ga[1..1].Ma[11].ACC        0       0.000  1348016.090  1348016.090 
    Ca[0].Ga[1..[2].Ma[0].ACC        0       0.000  1348987.384  1348987.384 
    Ca[0].Ga[1..[2].Ma[1].ACC        0       0.000  1349506.403  1349506.403 
    Ca[0].Ga[1..[2].Ma[2].ACC        0       0.000  1349485.474  1349485.474 
    Ca[0].Ga[1..[2].Ma[3].ACC        0       0.000  1349420.262  1349420.262 
    Ca[0].Ga[1..[2].Ma[4].ACC        0       0.000  1349377.637  1349377.637 
    Ca[0].Ga[1..[2].Ma[5].ACC        0       0.000  1349558.981  1349558.981 
    Ca[0].Ga[1..[2].Ma[6].ACC        0       0.000  1349388.357  1349388.357 
    Ca[0].Ga[1..[2].Ma[7].ACC        0       0.000  1349459.823  1349459.823 
    Ca[0].Ga[1..[2].Ma[8].ACC        0       0.000  1349343.691  1349343.691 
    Ca[0].Ga[1..[2].Ma[9].ACC        0       0.000  1349310.638  1349310.638 
    Ca[0].Ga[1..2].Ma[10].ACC        0       0.000  1349565.745  1349565.745 
    Ca[0].Ga[1..2].Ma[11].ACC        0       0.000  1348236.612  1348236.612 
    Ca[0].Ga[1..[3].Ma[0].ACC        0       0.000  1349053.362  1349053.362 
    Ca[0].Ga[1..[3].Ma[1].ACC        0       0.000  1349465.183  1349465.183 
    Ca[0].Ga[1..[3].Ma[2].ACC        0       0.000  1349322.890  1349322.890 
    Ca[0].Ga[1..[3].Ma[3].ACC        0       0.000  1349421.665  1349421.665 
    Ca[0].Ga[1..[3].Ma[4].ACC        0       0.000  1349511.508  1349511.508 
    Ca[0].Ga[1..[3].Ma[5].ACC        0       0.000  1349428.557  1349428.557 
    Ca[0].Ga[1..[3].Ma[6].ACC        0       0.000  1349501.171  1349501.171 
    Ca[0].Ga[1..[3].Ma[7].ACC        0       0.000  1349422.686  1349422.686 
    Ca[0].Ga[1..[3].Ma[8].ACC        0       0.000  1349516.485  1349516.485 
    Ca[0].Ga[1..[3].Ma[9].ACC        0       0.000  1349540.094  1349540.094 
    Ca[0].Ga[1..3].Ma[10].ACC        0       0.000  1349594.331  1349594.331 
