============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 03 2021  09:52:50 pm
  Module:                 axis_conv_engine
  Technology libraries:   tcbn45gsbwpbc 120
                          physical_cells 
  Operating conditions:   BCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                     Module                        Cell Count  Cell Area  Net Area   Total Area 
      mul_74_23                      mult_unsigned_195_6765                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_175               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[6].MUL     multiplier_174                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6766                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_174               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[5].MUL     multiplier_173                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6767                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_173               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[4].MUL     multiplier_172                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6768                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_172               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[3].MUL     multiplier_171                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6769                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_171               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[2].MUL     multiplier_170                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6770                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_170               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[1].MUL     multiplier_169                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6772                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_169               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[12].Mm[0].MUL     multiplier_168                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6773                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_168               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[13].MUL    multiplier_167                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6774                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_167               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[12].MUL    multiplier_166                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6775                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_166               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[11].MUL    multiplier_165                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6776                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_165               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[10].MUL    multiplier_164                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6777                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_164               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[9].MUL     multiplier_163                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6778                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_163               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[8].MUL     multiplier_162                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6779                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_162               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[7].MUL     multiplier_161                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6780                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_161               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[6].MUL     multiplier_160                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6781                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_160               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[5].MUL     multiplier_159                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6783                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_159               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[4].MUL     multiplier_158                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6784                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_158               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[3].MUL     multiplier_157                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6785                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_157               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[2].MUL     multiplier_156                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6786                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_156               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[1].MUL     multiplier_155                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6787                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_155               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[11].Mm[0].MUL     multiplier_154                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6788                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_154               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[13].MUL    multiplier_153                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6789                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_153               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[12].MUL    multiplier_152                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6790                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_152               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[11].MUL    multiplier_151                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6791                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_151               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[10].MUL    multiplier_150                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6792                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_150               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[9].MUL     multiplier_149                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6794                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_149               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[8].MUL     multiplier_148                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6795                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_148               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[7].MUL     multiplier_147                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6796                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_147               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[6].MUL     multiplier_146                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6797                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_146               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[5].MUL     multiplier_145                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6798                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_145               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[4].MUL     multiplier_144                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6799                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_144               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[3].MUL     multiplier_143                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6800                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_143               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[2].MUL     multiplier_142                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6801                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_142               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[1].MUL     multiplier_141                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6802                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_141               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[10].Mm[0].MUL     multiplier_140                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6803                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_140               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[13].MUL     multiplier_139                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6805                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_139               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[12].MUL     multiplier_138                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6806                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_138               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[11].MUL     multiplier_137                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6807                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_137               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[10].MUL     multiplier_136                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6808                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_136               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[9].MUL      multiplier_135                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6809                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_135               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[8].MUL      multiplier_134                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6810                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_134               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[7].MUL      multiplier_133                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6811                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_133               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[6].MUL      multiplier_132                                             146    359.856    88.777      448.633 
      mul_74_23                      mult_unsigned_195_6812                                     130    283.651    81.171      364.822 
      REG                            register_WORD_WIDTH16_RESET_VALUE0_LOCAL0_132               16     76.205     0.000       76.205 
    Cm[0].Gm[0].Um[9].Mm[5].MUL      multiplier_131                                             146    359.856    88.777      448.633 
