============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:02:13 am
  Module:                 axis_accelerator_asic
  Technology libraries:   scadv10_cln65gp_hvt_tt_1p0v_25c 1.0
                          physical_cells 
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                     Instance                                           Module                        Cell Count   Cell Area   Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------------------------------------------
        MUL                                       multiplier_raw_340                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_340                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_340               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[3].Ma[53].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_341                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_341                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_341               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[3].Ma[57].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_345                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_345                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_345               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[4].Ma[52].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_436                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_436                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_436               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[4].Ma[55].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_439                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_439                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_439               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[4].Ma[56].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_440                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_440                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_440               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[4].Ma[58].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_442                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_442                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_442               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[5].Ma[46].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_526                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_526                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_526               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[5].Ma[52].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         258    1150.400    393.118     1543.518 
        MUL                                       multiplier_raw_532                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_532                                         74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_532               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[1].Ma[30].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         259    1152.800    389.506     1542.306 
        MUL                                       multiplier_raw_126                                         138     550.800    222.035      772.835 
        ACC                                       accumulator_raw_126                                         74     455.600     83.599      539.199 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_126               25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[30].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    368.162     1471.762 
        MUL                                       multiplier_raw_30                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_30                                          74     455.600     88.278      543.878 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_30                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[19].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_19                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_19                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_19                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[20].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_20                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_20                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_20                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[21].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_21                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_21                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_21                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[22].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_22                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_22                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_22                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[23].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_23                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_23                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_23                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[24].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_24                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_24                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_24                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[25].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_25                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_25                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_25                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[26].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
        MUL                                       multiplier_raw_26                                          139     554.000    230.382      784.382 
        ACC                                       accumulator_raw_26                                          74     455.600     87.758      543.358 
          REG                                     register_WORD_WIDTH24_RESET_VALUE0_LOCAL0_26                25     199.200      0.000      199.200 
      Ca[0].Ga[0].Ua[0].Ma[27].PROCESSING_ELEMENT processing_element_WORD_WIDTH_IN8_WORD_WIDTH_OUT24         239    1103.600    367.642     1471.242 
