============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:02:18 am
  Module:                 axis_accelerator_asic
  Technology libraries:   scadv10_cln65gp_hvt_tt_1p0v_25c 1.0
                          physical_cells 
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                          
       Gate        Instances     Area                   Library              
INVX16BA10TH              59      542.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX16MA10TH              31      285.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX1BA10TH              472      566.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX1MA10TH            12738    15285.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX1P7MA10TH              4        6.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX2BA10TH               10       16.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX2MA10TH               27       43.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX3BA10TH                4        9.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX3MA10TH               29       69.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX3P5BA10TH              5       14.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX4BA10TH                2        5.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX4MA10TH               71      198.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX5BA10TH                1        3.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX5MA10TH               23       73.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX6BA10TH                5       20.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX6MA10TH               72      288.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX7P5BA10TH             22      105.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX7P5MA10TH             25      120.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX9BA10TH                9       46.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
INVX9MA10TH              123      639.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
M2DFFQX1MA10TH             9      104.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
MXIT2X1MA10TH             44      176.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
MXT2X0P5MA10TH          1346     5922.400    scadv10_cln65gp_hvt_tt_1p0v_25c 
MXT2X1MA10TH           27487   120942.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2BX1MA10TH           149      357.600    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2X1AA10TH           1243     1988.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2X1BA10TH           4072     6515.200    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2X1MA10TH            370      592.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2X2BA10TH              6       16.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2X3BA10TH              4       16.000    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2X4BA10TH              1        4.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
NAND2X6BA10TH              1        6.800    scadv10_cln65gp_hvt_tt_1p0v_25c 
