============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:03:24 am
  Module:                 axis_accelerator_asic
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage      Dynamic        Total     
             Instance               Cells  Power(nW)    Power(nW)     Power(nW)   
      Ca[0].Ga[0..SSING_ELEMENT       258    4005.800    202265.048    206270.848 
        MUL                           138    2147.963    109119.640    111267.603 
        ACC                            74    1314.899     75751.110     77066.009 
          REG                          25     363.630     39273.663     39637.293 
            RC_CG_HIER_INST64           1      11.593      3143.631      3155.225 
      Ca[0].Ga[0..SSING_ELEMENT       258    4002.340    198389.101    202391.442 
        MUL                           138    2147.963    109457.223    111605.185 
        ACC                            74    1311.439     71534.266     72845.705 
          REG                          25     363.290     37609.460     37972.750 
            RC_CG_HIER_INST92           1      11.593      3135.682      3147.275 
      Ca[0].Ga[0..SSING_ELEMENT       259    3999.674    190229.412    194229.086 
        MUL                           138    2147.963    110782.068    112930.031 
        ACC                            74    1298.732     61860.749     63159.480 
          REG                          25     363.474     34819.285     35182.759 
            RC_CG_HIER_INST31           1      11.593      3128.247      3139.840 
      Ca[0].Ga[0..SSING_ELEMENT       237    3819.382    339324.414    343143.796 
        MUL                           138    2163.109    188636.917    190800.025 
        ACC                            74    1329.432    119197.144    120526.576 
          REG                          25     371.433     61492.577     61864.009 
            RC_CG_HIER_INST84           1      11.593      3126.538      3138.131 
      Ca[0].Ga[0..SSING_ELEMENT       237    3819.382    339282.833    343102.215 
        MUL                           138    2163.109    188595.372    190758.481 
        ACC                            74    1329.432    119197.144    120526.576 
          REG                          25     371.433     61492.577     61864.009 
            RC_CG_HIER_INST19           1      11.593      3126.538      3138.131 
      Ca[0].Ga[0..SSING_ELEMENT       237    3819.380    339158.755    342978.136 
        MUL                           138    2163.109    188449.563    190612.672 
        ACC                            74    1329.431    119218.756    120548.187 
          REG                          25     371.436     61509.996     61881.431 
            RC_CG_HIER_INST4            1      11.593      3126.538      3138.131 
      Ca[0].Ga[0..SSING_ELEMENT       237    3819.335    336831.577    340650.913 
        MUL                           138    2163.109    186534.396    188697.505 
        ACC                            74    1329.377    118869.551    120198.929 
          REG                          25     371.401     61293.820     61665.221 
            RC_CG_HIER_INST67           1      11.593      3126.538      3138.131 
      Ca[0].Ga[0..SSING_ELEMENT       237    3819.222    337705.374    341524.596 
        MUL                           138    2163.109    188397.475    190560.584 
        ACC                            74    1329.253    118032.728    119361.981 
          REG                          25     371.305     60930.345     61301.650 
            RC_CG_HIER_INST52           1      11.593      3126.538      3138.131 
      Ca[0].Ga[0..SSING_ELEMENT       237    3816.138    280090.106    283906.244 
        MUL                           138    2158.689    156374.144    158532.833 
        ACC                            74    1328.490     95560.792     96889.282 
          REG                          25     370.480     50947.651     51318.130 
            RC_CG_HIER_INST35           1      11.593      3125.359      3136.952 
      Ca[0].Ga[0..SSING_ELEMENT       237    3815.736    337737.125    341552.861 
        MUL                           138    2159.463    187049.764    189209.227 
        ACC                            74    1329.432    119197.144    120526.576 
          REG                          25     371.433     61492.577     61864.009 
            RC_CG_HIER_INST101          1      11.593      3126.538      3138.131 
      Ca[0].Ga[0..SSING_ELEMENT       237    3815.735    339546.507    343362.242 
        MUL                           138    2159.463    188770.954    190930.417 
        ACC                            74    1329.432    119284.824    120614.256 
          REG                          25     371.434     61563.642     61935.076 
            RC_CG_HIER_INST36           1      11.593      3126.538      3138.131 
      Ca[0].Ga[0..SSING_ELEMENT       237    3814.654    283752.287    287566.940 
