============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Oct 08 2021  03:21:46 am
  Module:                 axis_accelerator_asic
  Technology libraries:   tcbn45gsbwpcgtc 200
                          tcbn45gsbwptc 120
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    
    Gate      Instances     Area         Library     
DFSNQD4BWP            2       9.878    tcbn45gsbwptc 
DFXQD1BWP            14      66.679    tcbn45gsbwptc 
EDFCNQD1BWP          20     112.896    tcbn45gsbwptc 
EDFD1BWP              4      20.462    tcbn45gsbwptc 
EDFD2BWP              2      11.290    tcbn45gsbwptc 
EDFQD1BWP            30     142.884    tcbn45gsbwptc 
EDFQD4BWP             1       5.645    tcbn45gsbwptc 
FA1D0BWP          12261   54071.010    tcbn45gsbwptc 
FA1D1BWP           3475   18389.700    tcbn45gsbwptc 
FA1D2BWP            385    2105.334    tcbn45gsbwptc 
FA1D4BWP             35     259.308    tcbn45gsbwptc 
FCICIND1BWP         503    1153.480    tcbn45gsbwptc 
FCICIND2BWP          29      71.618    tcbn45gsbwptc 
FCICOND1BWP          40      63.504    tcbn45gsbwptc 
FCICOND2BWP           6      14.818    tcbn45gsbwptc 
FICIND1BWP            3      15.347    tcbn45gsbwptc 
FICIND2BWP           52     321.048    tcbn45gsbwptc 
FICOND1BWP           16      87.494    tcbn45gsbwptc 
FICOND2BWP           64     395.136    tcbn45gsbwptc 
FIICOND2BWP           1       6.350    tcbn45gsbwptc 
HA1D0BWP           1266    3796.481    tcbn45gsbwptc 
HA1D1BWP             49     155.585    tcbn45gsbwptc 
HA1D2BWP             16      56.448    tcbn45gsbwptc 
HICIND1BWP            8      28.224    tcbn45gsbwptc 
HICOND1BWP           30      95.256    tcbn45gsbwptc 
HICOND2BWP            1       3.881    tcbn45gsbwptc 
IAO21D1BWP           58      71.618    tcbn45gsbwptc 
IAO21D2BWP           18      28.577    tcbn45gsbwptc 
IAO21D4BWP            3       8.467    tcbn45gsbwptc 
IAO22D1BWP           94     149.234    tcbn45gsbwptc 
IAO22D2BWP            1       2.117    tcbn45gsbwptc 
IIND4D1BWP            2       3.881    tcbn45gsbwptc 
IND2D1BWP           809     856.246    tcbn45gsbwptc 
IND2D2BWP            30      42.336    tcbn45gsbwptc 
IND2D4BWP             3       8.467    tcbn45gsbwptc 
IND3D1BWP            23      28.400    tcbn45gsbwptc 
IND4D1BWP            50      70.560    tcbn45gsbwptc 
INR2D1BWP          1807    1912.529    tcbn45gsbwptc 
INR2D2BWP           316     445.939    tcbn45gsbwptc 
INR2D4BWP            11      29.106    tcbn45gsbwptc 
INR2XD0BWP         4347    4600.865    tcbn45gsbwptc 
INR2XD1BWP           16      22.579    tcbn45gsbwptc 
INR2XD2BWP           23      52.744    tcbn45gsbwptc 
INR2XD4BWP            3      13.759    tcbn45gsbwptc 
INR3D0BWP            37      45.688    tcbn45gsbwptc 
INR3D2BWP             1       1.940    tcbn45gsbwptc 
INR3D4BWP             1       3.704    tcbn45gsbwptc 
INR4D0BWP             4       6.350    tcbn45gsbwptc 
INVD0BWP              1       0.529    tcbn45gsbwptc 
INVD12BWP           338    1013.594    tcbn45gsbwptc 
INVD16BWP           366    1420.373    tcbn45gsbwptc 
INVD1BWP           5787    3062.480    tcbn45gsbwptc 
INVD2BWP             41      28.930    tcbn45gsbwptc 
INVD3BWP            545     576.828    tcbn45gsbwptc 
INVD4BWP            693     855.716    tcbn45gsbwptc 
INVD6BWP            294     466.754    tcbn45gsbwptc 
